Name,Description,Price,Image URLs
Spiderweb Football Jersey,"Poly eyelet mesh with printed logo on chest. Printed graphics on chest, shoulders and back. Athletic label at lower front.",$110,"['https://us.supreme.com/cdn/shop/files/KN63_SS24_SpiderwebFootballJersey_Otange01_720x.jpg?v=1710515736', 'https://us.supreme.com/cdn/shop/files/KN63_SS24_SpiderwebFootballJersey_Black01_720x.jpg?v=1710515663', 'https://us.supreme.com/cdn/shop/files/KN63_SS24_SpiderwebFootballJersey_Navy01_720x.jpg?v=1710515680', 'https://us.supreme.com/cdn/shop/files/KN63_SS24_SpiderwebFootballJersey_White01_720x.jpg?v=1710515592']"
Washed Tag S/S Top,All cotton jersey crewneck with embroidered logo on chest.,$54,"['https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedBlack_720x.jpg?v=1710515907', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedLightRoyal_720x.jpg?v=1710515814', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedLavender_720x.jpg?v=1710515894', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedOlive_720x.jpg?v=1710515987', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedBrightYellow_720x.jpg?v=1710515936', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedOrange_720x.jpg?v=1710515950', 'https://us.supreme.com/cdn/shop/files/KN27_SS24_TagWashedTop_WashedWhite_720x.jpg?v=1710515961']"
Halftone S/S Top,All cotton jersey crewneck with printed logo on front and back.,$88,"['https://us.supreme.com/cdn/shop/files/KN64_SS24_HalftoneSSTop_BrightGreen01_720x.jpg?v=1710515219', 'https://us.supreme.com/cdn/shop/files/KN64_SS24_HalftoneSSTop_Black01_720x.jpg?v=1710515185', 'https://us.supreme.com/cdn/shop/files/KN64_SS24_HalftoneSSTop_Red01_720x.jpg?v=1710515293', 'https://us.supreme.com/cdn/shop/files/KN64_SS24_HalftoneSSTop_White01_720x.jpg?v=1710515305']"
Overprint Knowledge S/S Top,All cotton slub jersey crewneck with printed graphic on front.,$88,"['https://us.supreme.com/cdn/shop/files/KN62_SS24_OverprintSlubTop_Navy_720x.jpg?v=1709911536', 'https://us.supreme.com/cdn/shop/files/KN62_SS24_OverprintSlubTop_Orange_720x.jpg?v=1709911573', 'https://us.supreme.com/cdn/shop/files/KN62_SS24_OverprintSlubTop_Black_720x.jpg?v=1709911590', 'https://us.supreme.com/cdn/shop/files/KN62_SS24_OverprintSlubTop_Cream_720x.jpg?v=1709911549']"
Layered Hooded L/S Top,All cotton jersey with embroidered logo on hood and printed logos on sleeves.,$98,"['https://us.supreme.com/cdn/shop/files/KN40_SS24_HoodedTwoLayerLSTop_Olive_720x.jpg?v=1709911405', 'https://us.supreme.com/cdn/shop/files/KN40_SS24_HoodedTwoLayerLSTop_Black_720x.jpg?v=1709911393', 'https://us.supreme.com/cdn/shop/files/KN40_SS24_HoodedTwoLayerLSTop_Tan_720x.jpg?v=1709911416']"
$ Sweatpant,Brushed-back fleece with on seam hand pockets and single back patch pocket. Elastic cuffs and waistband with interior drawcord. Tackle twill graphic appliqué at thigh and embroidered logo on back pocket.,$158,"['https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_Black01_720x.jpg?v=1709912277', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_DesertCamo01_720x.jpg?v=1709912236', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_Navy01_720x.jpg?v=1709912208', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_Red01_720x.jpg?v=1709912252', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_LtPurple01_720x.jpg?v=1709912292', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_HeatherGrey01_720x.jpg?v=1709912225', 'https://us.supreme.com/cdn/shop/files/P54_SS24_UsdSweatpant_Gold01_720x.jpg?v=1709912264']"
Distressed Loose Fit Selvedge Jean,"All cotton 13 oz. Japanese English denim with loose fit, heavy wash and hand-applied distressed treatment. Classic 5-pocket style with button fly, single coin pocket, copper oxide rivets and embroidered logo on back pocket. Made in Japan.",$298,"['https://us.supreme.com/cdn/shop/files/P24_SS24_LooseFitWornJeans_WashedIndigo01_720x.jpg?v=1710516210', 'https://us.supreme.com/cdn/shop/files/P24_SS24_LooseFitWornJeans_WashedBlack01_720x.jpg?v=1710516192']"
Snake Print Chino Pant,"All cotton chino twill with printed pattern and enzyme wash. Relaxed fit with on seam hand pockets, welt back pockets, hidden coin pocket and button fly closure. Embroidered logo on back pocket.",$148,"['https://us.supreme.com/cdn/shop/files/P48_SS24_SnakePrintChino_PalePink01_720x.jpg?v=1710516482', 'https://us.supreme.com/cdn/shop/files/P48_SS24_SnakePrintChino_Charcoal01_720x.jpg?v=1710516435', 'https://us.supreme.com/cdn/shop/files/P48_SS24_SnakePrintChino_Olive01_720x.jpg?v=1710516454']"
Work Pant,"Heavy cotton blend twill with enzyme wash. Slanted front pockets, zip fly, single coin pocket and snap closure on back pocket. Welt utility pocket at side.",$128,"['https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_Brown01_720x.jpg?v=1709911764', 'https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_Tan01_720x.jpg?v=1709911735', 'https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_Black01_720x.jpg?v=1709911804', 'https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_BrightRed01_720x.jpg?v=1709911751', 'https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_LtNavy01_720x.jpg?v=1709911775', 'https://us.supreme.com/cdn/shop/files/P19_SS24_WorkPant_Olive01_720x.jpg?v=1709911790']"
Pinstripe Sweatshort,Brushed-back fleece with on seam hand pockets and single back patch pocket. Elastic waistband with interior drawcord. Embroidered logo on back pocket.,$118,"['https://us.supreme.com/cdn/shop/files/SH27_SS24_PinstripeSweatshort_OldNavyPinstripe01_720x.jpg?v=1710517596', 'https://us.supreme.com/cdn/shop/files/SH27_SS24_PinstripeSweatshort_PinkPinstripe01_720x.jpg?v=1710517614', 'https://us.supreme.com/cdn/shop/files/SH27_SS24_PinstripeSweatshort_HeatherGreyPinstripe01_720x.jpg?v=1710517567']"
Sharpie® Box Logo New Era®,"Poly New Era® 59FIFTY baseball hat with embroideries on front, sides and back. Includes tonal Sharpie® marker.",$58,"['https://us.supreme.com/cdn/shop/files/H6_SS24_DigitalNewEra_Red01_720x.jpg?v=1709912444', 'https://us.supreme.com/cdn/shop/files/H6_SS24_DigitalNewEra_SouthWestBlue01_720x.jpg?v=1709912412', 'https://us.supreme.com/cdn/shop/files/H6_SS24_DigitalNewEra_DarkGreen01_720x.jpg?v=1709912473', 'https://us.supreme.com/cdn/shop/files/H6_SS24_DigitalNewEra_Black01_720x.jpg?v=1709912486', 'https://us.supreme.com/cdn/shop/files/H6_SS24_DigitalNewEra_Pink01_720x.jpg?v=1709912425']"
Military Camp Cap,All cotton Supreme camp cap with embroidered graphic on back.,$48,"['https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_OliveTigerCamo01_720x.jpg?v=1710516978', 'https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_LightBlue01_720x.jpg?v=1710516810', 'https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_Black01_720x.jpg?v=1710516834', 'https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_Olive01_720x.jpg?v=1710516848', 'https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_RedTigerCamo01_720x.jpg?v=1710516895', 'https://us.supreme.com/cdn/shop/files/H16_SS24_MilitaryCC_Orange01_720x.jpg?v=1710516930']"
Black Cat Mesh Back 5-Panel,Cotton blend twill 5-Panel hat with mesh back and snap closure. Embroidered patch on front and embroidered logo on back.,$48,"['https://us.supreme.com/cdn/shop/files/H40_SS24_BlackCatMeshBack5P_Royal01_720x.jpg?v=1710516700', 'https://us.supreme.com/cdn/shop/files/H40_SS24_BlackCatMeshBack5P_WoodlandCamo01_720x.jpg?v=1710516653', 'https://us.supreme.com/cdn/shop/files/H40_SS24_BlackCatMeshBack5P_Red01_720x.jpg?v=1710516678', 'https://us.supreme.com/cdn/shop/files/H40_SS24_BlackCatMeshBack5P_Black01_720x.jpg?v=1710516689']"
GORE-TEX Sunshield Hat,"Waterproof, breathable GORE-TEX nylon sunshield hat with interior elastic shockcord closure. Woven logo label at front and embroidered logo on side.",$68,"['https://us.supreme.com/cdn/shop/files/H71_SS24_GoretexSafariHat_Black01_720x.jpg?v=1710517101', 'https://us.supreme.com/cdn/shop/files/H71_SS24_GoretexSafariHat_Yellow01_720x.jpg?v=1710517082', 'https://us.supreme.com/cdn/shop/files/H71_SS24_GoretexSafariHat_Brown01_720x.jpg?v=1710517127', 'https://us.supreme.com/cdn/shop/files/H71_SS24_GoretexSafariHat_Blue01_720x.jpg?v=1710517158', 'https://us.supreme.com/cdn/shop/files/H71_SS24_GoretexSafariHat_Navy01_720x.jpg?v=1710517169']"
New Era® $ Beanie,Acrylic cuffed beanie with tackle twill logo appliqué and embroideries on cuff.,$40,"['https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_HeatherGrey01_720x.jpg?v=1709913001', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_Gold01_720x.jpg?v=1709912871', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_DesertCamo01_720x.jpg?v=1709912912', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_Black01_720x.jpg?v=1709912862', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_Red01_720x.jpg?v=1709912931', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_Lavender01_720x.jpg?v=1709912883', 'https://us.supreme.com/cdn/shop/files/BN11_SS24_NewEraDollarBN_Navy01_720x.jpg?v=1709912980']"
Supreme®/Mac Tools® Utility Cart,"Utility cart with 18-Gauge steel construction and 4"" casters. Two 3"" deep storage shelves with custom metal logo badges and rubber mat. 30”x 35.5"" x 16"". 350 lb. capacity. Made exclusively for Supreme.",$498,['https://us.supreme.com/cdn/shop/files/A68_SS24_MacUtilityCart_Red02_720x.jpg?v=1708972009']
Repeat Leather Belt,Cowhide leather belt with embossed printed logo pattern. Debossed logo at back.,$148,"['https://us.supreme.com/cdn/shop/files/A27_SS24_WaistbandBelt_WoodlandCamo01_720x.jpg?v=1710517350', 'https://us.supreme.com/cdn/shop/files/A27_SS24_WaistbandBelt_Red01_720x.jpg?v=1710517319', 'https://us.supreme.com/cdn/shop/files/A27_SS24_WaistbandBelt_Black01_720x.jpg?v=1710517363']"
Supreme®/Diamond Matches (Pack of 75),Pack of 75 long reach matches. Made exclusively for Supreme.,$8,['https://us.supreme.com/cdn/shop/files/A56_SS24_DiamondMatches_Group03_720x.jpg?v=1709913078']
Supreme®/Hanes® Tagless Tees (2 Pack),All cotton classic Hanes® crewneck tee with stamped logo on lower front.,$32,['https://us.supreme.com/cdn/shop/files/A12_SS24_HanesTaglessTShirt_HeatherGrey03_720x.jpg?v=1707840269']
Supreme®/Hanes® Boxer Briefs (4 Pack),All cotton classic Hanes® boxer brief.,$40,"['https://us.supreme.com/cdn/shop/products/g_T-SZHg26A_720x.jpg?v=1671833396', 'https://us.supreme.com/cdn/shop/products/tun_EOrcwM_720x.jpg?v=1671833396']"
Supreme®/Hanes® Crew Socks (4 Pack),Cotton blend Hanes® cushion comfort crew sock with jacquard logo at top.,$24,"['https://us.supreme.com/cdn/shop/products/EDccMjVM8Q4_720x.jpg?v=1671833397', 'https://us.supreme.com/cdn/shop/products/h8iZc0Wh6Do_720x.jpg?v=1671833397']"
Supreme®/Hanes® Tagless Tank Tops (3 Pack),All cotton classic Hanes® tank top with stamped logo on lower front.,$28,['https://us.supreme.com/cdn/shop/files/A40_SS24_HanesTaglessTanks_HeatherGrey03_720x.jpg?v=1707847728']
Futura Skateboard,Full dipped Supreme skate deck with printed graphic on top and bottom. Original artwork by Futura.,$60,"['https://us.supreme.com/cdn/shop/files/SB6_SS24_FuturaSkateboard_Purple_Comp_720x.jpg?v=1707933461', 'https://us.supreme.com/cdn/shop/files/SB6_SS24_FuturaSkateboard_Silver_Comp_720x.jpg?v=1707753534', 'https://us.supreme.com/cdn/shop/files/SB6_SS24_FuturaSkateboard_Olive_Comp_720x.jpg?v=1707753570', 'https://us.supreme.com/cdn/shop/files/SB6_SS24_FuturaSkateboard_Black_Comp_720x.jpg?v=1707753583']"
Routed Box Logo Skateboard,Supreme skate deck with natural veneer. Routed logo on bottom with printed World Famous and box logo on top.,$60,"['https://us.supreme.com/cdn/shop/files/SB13_RoutedBoxLogoSB_White_Comp_720x.jpg?v=1707231011', 'https://us.supreme.com/cdn/shop/files/SB13_RoutedBoxLogoSB_Black_Comp_720x.jpg?v=1707231025']"
Supreme®/Spitfire® Shop Wheels (Set of 4),"Classic Spitfire® wheels with custom Supreme art. Each size sold separately as a set of four wheels. 52mm, 53mm & 54mm wheels are classic 99D hard urethane. Made exclusively for Supreme.",$36,"['https://us.supreme.com/cdn/shop/products/A92_SS23_SpitfireShopWheel_Black_Group_720x.jpg?v=1676334989', 'https://us.supreme.com/cdn/shop/products/rfzWqznnu2k_720x.jpg?v=1671834322', 'https://us.supreme.com/cdn/shop/products/IB9-_dOEUX4_720x.jpg?v=1671834324']"
Supreme®/Independent® Truck,Classic Independent® truck with custom Supreme art. Each size sold separately as a pair of two trucks. Made exclusively for Supreme.,$60,['https://us.supreme.com/cdn/shop/files/A90_SS23_IndipendantTruck_silver03B_f9cbf048-eb44-42da-9df5-485ea2b75742_720x.jpg?v=1694635880']
